personId:ID(Person-ID),first_name,last_name,birth_date:date,age:int,location,genre,bot_score:float,:LABEL
b9f282b2-36bb-44cc-8341-29ffe1ae9cb3,Victoria,Murray,1951-03-04,73,Columbia Heights Chicago US,Science,0.59,person
4c012a28-0961-4fe8-b116-6c8a99ad55fb,Stanley,Jensen,2006-05-07,18,Punta Gorda Isles New York US,Nature,0.27,person
d0fee310-b71f-4f89-b0bf-352b6825fc4d,Lisa,Anderson,2023-11-11,1,Massapequa New York US,Parenting and family,0.38,person
e3f6aba4-fb47-470f-84a2-91151506beac,Mark,Anderson,1997-01-01,27,Searcy Chicago US,Science,0.22,person
c9f2415b-549c-43de-a9c5-c7c27b2f34ea,Emily,Elliott,1991-09-17,33,Martinsburg New York US,DIY and crafts,0.3,person
ef0574fb-a4bc-43ba-9e98-fb3a4cab2ee9,Valerie,Harris,2017-11-18,7,Pahrump Los Angeles US,Beauty,0.55,person
ea84625c-af72-46c3-b921-4dfaeb5b89d7,Wendy,Williams,1960-02-14,64,Scottsdale Phoenix US,Books,0.88,person
901cf95b-22b3-48a5-9a7b-403dd816f595,Erin,Park,1911-06-27,113,Kearns Denver US,Technology,0.18,person
52b85168-331c-481c-8b1c-5b71d7d0677e,Brian,Moore,1948-03-24,76,San Juan Chicago US,Sports,0.71,person
a2b644d2-beb2-4ed0-9c4a-083380dbc2ae,Marissa,Hubbard,1950-06-06,74,Greenpoint New York US,Politics,0.36,person
8255b3fc-1186-4713-8e08-f72b70a94b38,Wendy,Bass,1934-12-07,90,Bourbonnais Chicago US,Sports,0.23,person
429fc11c-d39e-48e5-8af3-79c3c1ba3075,Eduardo,Mcdaniel,1987-02-26,37,Greenville Chicago US,Science,0.41,person
eb4cbde1-534c-4ba0-87c6-1d8605449bec,Michael,Peters,1928-07-25,96,Coralville Chicago US,Parenting and family,0.74,person
d15cbdb9-2ed2-4145-8269-5fa9556bf68f,David,Smith,1935-12-22,89,Belle Glade New York US,Politics,0.2,person
d5f8bd19-4d80-4fe9-b893-2adbed40d71d,Jason,Jefferson,1966-03-04,58,Fayetteville New York US,Cooking,0.92,person
9169373d-14ae-4826-8468-899f9deae8f8,Monique,Schaefer,2006-07-22,18,Jackson Chicago US,Beauty,0.72,person
d593e1ec-5fff-45c3-8b9e-600e47d15a77,Monica,Walker,1988-06-11,36,Indio Los Angeles US,DIY and crafts,0.8,person
4a464900-ed41-4dca-ba12-7b4fa3723383,Megan,Smith,1931-04-07,93,Kearns Denver US,Science,0.69,person
7e054365-9e53-4885-9e68-a895e03d6d65,Kelly,Campbell,1968-06-03,56,Iron River Menominee US,Sports,0.38,person
f53d4e9f-f892-4c62-b53f-867e7b4fe3ea,Jim,Ramirez,1986-05-11,38,Porterville Los Angeles US,Music,0.27,person
03677f5c-fb81-41b5-ab9d-6de891b32c9b,Kenneth,Sherman,1982-05-30,42,Greenpoint New York US,Gaming,0.87,person
c39a1e8f-9879-451d-a351-9dac67c52240,Heather,Huff,1938-02-03,86,Rutland New York US,DIY and crafts,0.78,person
72ab3960-5cb5-4074-8320-6be987ab8ebc,Jennifer,Hernandez,1985-09-08,39,Palm Valley New York US,Books,0.74,person
fe9803ad-e8e3-4b4e-9e32-86a13b64fb53,Pam,Howe,2016-04-29,8,Brenham Chicago US,Photography,0.5,person
e2654fd0-5a9c-4188-8933-cf7209bee24b,Ronnie,Bradshaw,1913-01-19,111,Gainesville New York US,Pets,0.41,person
d5857445-9ca9-48a2-b16c-b2b7eca4aa2d,Kirk,Evans,1958-08-25,66,Ada Chicago US,Politics,0.83,person
ce656a51-c4a8-4d1a-b1f5-7ac9fca95906,Jeremiah,Hogan,2023-01-26,1,Gates-North Gates New York US,Sports,0.48,person
4034f677-908f-4d2c-a5e9-2c20c6ee2589,Katie,Taylor,1978-11-27,46,Fitchburg New York US,Technology,0.56,person
e84bf363-ef79-4833-9df8-2fd5cfcbede7,Brandon,Villanueva,1908-08-01,116,Sterling New York US,Gardening,0.3,person
ba942529-390c-48ee-a60c-aba63986503e,Lindsay,Ritter,1919-07-15,105,Palestine Chicago US,Music,0.22,person
02857675-da23-4ff4-b70c-549d899b7b5a,Rachael,Valdez,1987-05-06,37,Yonkers New York US,Science,0.51,person
1e419f15-a212-4d1e-b4e3-3a8e3f6a370e,Juan,Carter,1924-05-04,100,Fitchburg New York US,Politics,0.84,person
fff379ae-04d6-472f-a73f-6db9797ae32a,Casey,Rodriguez,2019-01-13,5,Lutz New York US,Cooking,0.7,person
10e23fe2-2420-402c-9f68-5d69e84de2b5,Denise,Nelson,1971-10-04,53,Sicklerville New York US,Photography,0.23,person
